@relation Rel

@attribute magnitude0 numeric
@attribute magnitude1 numeric
@attribute magnitude2 numeric
@attribute magnitude3 numeric
@attribute magnitude4 numeric
@attribute magnitude5 numeric
@attribute magnitude6 numeric
@attribute magnitude7 numeric
@attribute magnitude8 numeric
@attribute magnitude9 numeric
@attribute magnitude10 numeric
@attribute magnitude11 numeric
@attribute magnitude12 numeric
@attribute magnitude13 numeric
@attribute magnitude14 numeric
@attribute magnitude15 numeric
@attribute magnitude16 numeric
@attribute magnitude17 numeric
@attribute magnitude18 numeric
@attribute magnitude19 numeric
@attribute magnitude20 numeric
@attribute magnitude21 numeric
@attribute magnitude22 numeric
@attribute magnitude23 numeric
@attribute magnitude24 numeric
@attribute magnitude25 numeric
@attribute magnitude26 numeric
@attribute magnitude27 numeric
@attribute magnitude28 numeric
@attribute magnitude29 numeric
@attribute magnitude30 numeric
@attribute magnitude31 numeric
@attribute magnitude32 numeric
@attribute magnitude33 numeric
@attribute magnitude34 numeric
@attribute magnitude35 numeric
@attribute magnitude36 numeric
@attribute magnitude37 numeric
@attribute magnitude38 numeric
@attribute magnitude39 numeric
@attribute magnitude40 numeric
@attribute magnitude41 numeric
@attribute magnitude42 numeric
@attribute magnitude43 numeric
@attribute magnitude44 numeric
@attribute magnitude45 numeric
@attribute magnitude46 numeric
@attribute magnitude47 numeric
@attribute magnitude48 numeric
@attribute magnitude49 numeric
@attribute magnitude50 numeric
@attribute magnitude51 numeric
@attribute magnitude52 numeric
@attribute magnitude53 numeric
@attribute magnitude54 numeric
@attribute magnitude55 numeric
@attribute magnitude56 numeric
@attribute magnitude57 numeric
@attribute magnitude58 numeric
@attribute magnitude59 numeric
@attribute magnitude60 numeric
@attribute magnitude61 numeric
@attribute magnitude62 numeric
@attribute magnitude63 numeric
@attribute magnitude64 numeric
@attribute magnitude65 numeric
@attribute magnitude66 numeric
@attribute magnitude67 numeric
@attribute magnitude68 numeric
@attribute magnitude69 numeric
@attribute magnitude70 numeric
@attribute magnitude71 numeric
@attribute magnitude72 numeric
@attribute magnitude73 numeric
@attribute magnitude74 numeric
@attribute magnitude75 numeric
@attribute magnitude76 numeric
@attribute magnitude77 numeric
@attribute magnitude78 numeric
@attribute magnitude79 numeric
@attribute magnitude80 numeric
@attribute magnitude81 numeric
@attribute magnitude82 numeric
@attribute magnitude83 numeric
@attribute magnitude84 numeric
@attribute magnitude85 numeric
@attribute magnitude86 numeric
@attribute magnitude87 numeric
@attribute magnitude88 numeric
@attribute magnitude89 numeric
@attribute magnitude90 numeric
@attribute magnitude91 numeric
@attribute magnitude92 numeric
@attribute magnitude93 numeric
@attribute magnitude94 numeric
@attribute magnitude95 numeric
@attribute magnitude96 numeric
@attribute magnitude97 numeric
@attribute magnitude98 numeric
@attribute magnitude99 numeric
@attribute magnitude100 numeric
@attribute magnitude101 numeric
@attribute magnitude102 numeric
@attribute magnitude103 numeric
@attribute magnitude104 numeric
@attribute magnitude105 numeric
@attribute magnitude106 numeric
@attribute magnitude107 numeric
@attribute magnitude108 numeric
@attribute magnitude109 numeric
@attribute magnitude110 numeric
@attribute magnitude111 numeric
@attribute magnitude112 numeric
@attribute magnitude113 numeric
@attribute magnitude114 numeric
@attribute magnitude115 numeric
@attribute magnitude116 numeric
@attribute magnitude117 numeric
@attribute magnitude118 numeric
@attribute magnitude119 numeric
@attribute magnitude120 numeric
@attribute magnitude121 numeric
@attribute magnitude122 numeric
@attribute magnitude123 numeric
@attribute magnitude124 numeric
@attribute magnitude125 numeric
@attribute magnitude126 numeric
@attribute magnitude127 numeric
@attribute magnitude128 numeric
@attribute magnitude129 numeric
@attribute magnitude130 numeric
@attribute magnitude131 numeric
@attribute magnitude132 numeric
@attribute magnitude133 numeric
@attribute magnitude134 numeric
@attribute magnitude135 numeric
@attribute magnitude136 numeric
@attribute magnitude137 numeric
@attribute magnitude138 numeric
@attribute magnitude139 numeric
@attribute magnitude140 numeric
@attribute magnitude141 numeric
@attribute magnitude142 numeric
@attribute magnitude143 numeric
@attribute magnitude144 numeric
@attribute magnitude145 numeric
@attribute magnitude146 numeric
@attribute magnitude147 numeric
@attribute magnitude148 numeric
@attribute magnitude149 numeric
@attribute magnitude150 numeric
@attribute magnitude151 numeric
@attribute magnitude152 numeric
@attribute magnitude153 numeric
@attribute magnitude154 numeric
@attribute magnitude155 numeric
@attribute magnitude156 numeric
@attribute magnitude157 numeric
@attribute magnitude158 numeric
@attribute magnitude159 numeric
@attribute magnitude160 numeric
@attribute magnitude161 numeric
@attribute magnitude162 numeric
@attribute magnitude163 numeric
@attribute magnitude164 numeric
@attribute magnitude165 numeric
@attribute magnitude166 numeric
@attribute magnitude167 numeric
@attribute magnitude168 numeric
@attribute magnitude169 numeric
@attribute magnitude170 numeric
@attribute magnitude171 numeric
@attribute magnitude172 numeric
@attribute magnitude173 numeric
@attribute magnitude174 numeric
@attribute magnitude175 numeric
@attribute magnitude176 numeric
@attribute magnitude177 numeric
@attribute magnitude178 numeric
@attribute magnitude179 numeric
@attribute magnitude180 numeric
@attribute magnitude181 numeric
@attribute magnitude182 numeric
@attribute magnitude183 numeric
@attribute magnitude184 numeric
@attribute magnitude185 numeric
@attribute magnitude186 numeric
@attribute magnitude187 numeric
@attribute magnitude188 numeric
@attribute magnitude189 numeric
@attribute magnitude190 numeric
@attribute magnitude191 numeric
@attribute magnitude192 numeric
@attribute magnitude193 numeric
@attribute magnitude194 numeric
@attribute magnitude195 numeric
@attribute magnitude196 numeric
@attribute magnitude197 numeric
@attribute magnitude198 numeric
@attribute magnitude199 numeric
@attribute magnitude200 numeric
@attribute magnitude201 numeric
@attribute magnitude202 numeric
@attribute magnitude203 numeric
@attribute magnitude204 numeric
@attribute magnitude205 numeric
@attribute magnitude206 numeric
@attribute magnitude207 numeric
@attribute magnitude208 numeric
@attribute magnitude209 numeric
@attribute magnitude210 numeric
@attribute magnitude211 numeric
@attribute magnitude212 numeric
@attribute magnitude213 numeric
@attribute magnitude214 numeric
@attribute magnitude215 numeric
@attribute magnitude216 numeric
@attribute magnitude217 numeric
@attribute magnitude218 numeric
@attribute magnitude219 numeric
@attribute magnitude220 numeric
@attribute magnitude221 numeric
@attribute magnitude222 numeric
@attribute magnitude223 numeric
@attribute magnitude224 numeric
@attribute magnitude225 numeric
@attribute magnitude226 numeric
@attribute magnitude227 numeric
@attribute magnitude228 numeric
@attribute magnitude229 numeric
@attribute magnitude230 numeric
@attribute magnitude231 numeric
@attribute magnitude232 numeric
@attribute magnitude233 numeric
@attribute magnitude234 numeric
@attribute magnitude235 numeric
@attribute magnitude236 numeric
@attribute magnitude237 numeric
@attribute magnitude238 numeric
@attribute magnitude239 numeric
@attribute magnitude240 numeric
@attribute magnitude241 numeric
@attribute magnitude242 numeric
@attribute magnitude243 numeric
@attribute magnitude244 numeric
@attribute magnitude245 numeric
@attribute magnitude246 numeric
@attribute magnitude247 numeric
@attribute magnitude248 numeric
@attribute magnitude249 numeric
@attribute theClass {not-distracted,distracted}

@data
2,10,13,13,8,10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,not-distracted
10,13,13,8,10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,not-distracted
13,13,8,10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,not-distracted
13,8,10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,not-distracted
8,10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,not-distracted
10,14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,not-distracted
14,4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,not-distracted
4,7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,not-distracted
7,37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,not-distracted
37,28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,not-distracted
28,3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,not-distracted
3,29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,not-distracted
29,37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,not-distracted
37,7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,not-distracted
7,3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,not-distracted
3,10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,1,not-distracted
10,16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,1,2,not-distracted
16,15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,1,2,2,not-distracted
15,12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,1,2,2,6,not-distracted
12,7,1,1,1,2,0,1,2,2,1,1,1,3,0,1,2,0,1,1,1,2,2,2,3,35,40,3,8,3,1,13,6,22,9,6,0,3,17,12,0,10,4,4,1,11,8,10,11,4,7,5,3,3,18,17,19,4,15,4,8,6,6,5,1,3,3,2,7,1,0,5,17,5,8,22,18,8,6,4,14,9,6,5,5,6,4,7,7,12,5,2,2,2,4,12,7,9,3,8,6,11,9,5,2,12,4,13,12,0,12,14,10,3,5,1,2,4,9,2,2,3,6,2,2,2,5,1,2,1,3,4,2,1,7,4,4,13,2,4,1,3,3,2,6,2,2,3,0,2,2,1,2,2,8,11,6,8,2,7,2,5,3,0,2,1,2,3,2,3,0,1,2,3,14,2,24,1,12,14,1,2,3,2,2,2,6,6,3,1,1,0,1,0,1,15,12,8,11,9,12,5,30,34,2,3,3,36,37,1,6,28,31,13,20,2,5,4,0,0,1,0,2,4,1,0,1,1,1,2,1,1,2,12,16,2,4,2,1,1,2,4,5,1,1,1,2,2,6,7,not-distracted
